,GHI,Tair,poa_global,solar_elevation,cell_temp,E_gen_kWh,E_hvac_kWh,E_hw_kWh,E_base_kWh,E_total_kWh,charge_kw,discharge_kw,grid_export_kw,grid_import_kw,soc_after,E_self_kWh
2020-01-01 00:00:00+09:00,0.0000,1.5000,0.0000,-76.9366,1.5000,0.0000,0.0000,0.0000,0.1500,0.1500,0.0000,0.1500,0.0000,0.0000,0.4871,0.0000
2020-01-01 01:00:00+09:00,0.0000,-0.4000,0.0000,-69.2878,-0.4000,0.0000,0.0000,0.3333,0.1500,0.4833,0.0000,0.4833,0.0000,0.0000,0.4456,0.0000
2020-01-01 02:00:00+09:00,0.0000,2.7000,0.0000,-58.0482,2.7000,0.0000,0.0000,0.3333,0.1500,0.4833,0.0000,0.4833,0.0000,0.0000,0.4041,0.0000
2020-01-01 03:00:00+09:00,0.0000,3.6000,0.0000,-46.0056,3.6000,0.0000,0.0000,0.3333,0.1500,0.4833,0.0000,0.4833,0.0000,0.0000,0.3625,0.0000
2020-01-01 04:00:00+09:00,0.0000,0.1000,0.0000,-33.8414,0.1000,0.0000,0.0000,0.0000,0.1500,0.1500,0.0000,0.1500,0.0000,0.0000,0.3497,0.0000
2020-01-01 05:00:00+09:00,0.0000,2.0000,0.0000,-21.8404,2.0000,0.0000,0.0000,0.0000,0.2000,0.2000,0.0000,0.2000,0.0000,0.0000,0.3325,0.0000
2020-01-01 06:00:00+09:00,0.0000,5.2000,0.0000,-10.2168,5.2000,0.0000,0.6884,0.0000,0.9000,1.5884,0.0000,1.5884,0.0000,0.0000,0.1960,0.0000
2020-01-01 07:00:00+09:00,0.0000,4.8000,0.0000,0.7906,4.8000,0.0000,0.7070,0.0000,1.1000,1.8070,0.0000,1.6996,0.0000,0.1073,0.0500,0.0000
2020-01-01 08:00:00+09:00,63.4000,7.1000,132.1643,10.8636,11.0657,0.7386,0.6000,0.0000,0.7000,1.3000,0.0000,0.0000,0.0000,0.5614,0.0500,0.7386
2020-01-01 09:00:00+09:00,95.3000,6.5000,146.2946,19.5575,10.9070,0.8179,0.6279,0.0000,0.4000,1.0279,0.0000,0.0000,0.0000,0.2100,0.0500,0.8179
2020-01-01 10:00:00+09:00,81.2000,9.8000,107.2859,26.2748,12.9865,0.5963,0.4744,0.0000,0.3500,0.8244,0.0000,0.0000,0.0000,0.2282,0.0500,0.5963
2020-01-01 11:00:00+09:00,73.7000,7.8000,106.7833,30.3244,11.1345,0.5966,0.5674,0.0000,0.4000,0.9674,0.0000,0.0000,0.0000,0.3708,0.0500,0.5966
2020-01-01 12:00:00+09:00,126.5000,8.4000,187.3377,31.1425,14.2226,1.0374,0.5395,0.0000,0.6000,1.1395,0.0000,0.0000,0.0000,0.1021,0.0500,1.0374
2020-01-01 13:00:00+09:00,57.7000,9.4000,80.2695,28.5979,11.6111,0.4479,0.4930,0.0000,0.3500,0.8430,0.0000,0.0000,0.0000,0.3951,0.0500,0.4479
2020-01-01 14:00:00+09:00,75.3000,11.7000,114.7399,23.0786,15.2285,0.6335,0.3860,0.0000,0.3500,0.7360,0.0000,0.0000,0.0000,0.1025,0.0500,0.6335
2020-01-01 15:00:00+09:00,23.2000,6.6000,36.3104,15.2523,7.6574,0.2049,0.6232,0.0000,0.3500,0.9732,0.0000,0.0000,0.0000,0.7683,0.0500,0.2049
2020-01-01 16:00:00+09:00,39.7000,6.8000,92.2004,5.7779,9.6726,0.5173,0.6139,0.0000,0.4000,1.0139,0.0000,0.0000,0.0000,0.4966,0.0500,0.5173
